Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0.0,Sat Jul 14 19:03:07 +0000 2018,0.0,1.0,0.0,@BBC,"Tonight, @reginalddhunter takes a 2,000-mile musical road trip along the US-Mexico border. 🎶

Reginald D Hunter's S… https://t.co/K4ZHogg1lO",1
0.3818,Sat Jul 14 18:03:04 +0000 2018,0.0,0.843,0.157,@BBC,There's a clear difference in the way boys and girls behave during a #heatwave. 😂☀️🌡 @JackWhitehall… https://t.co/SmGTMhnZ3M,2
0.8271,Sat Jul 14 17:32:50 +0000 2018,0.0,0.628,0.372,@BBC,🎾 Angelique Kerber beat seven-time champion Serena Williams to win her first #Wimbledon title.… https://t.co/O7Q0shxwSc,3
0.6688,Sat Jul 14 16:23:10 +0000 2018,0.0,0.848,0.152,@BBC,"RT @BBCSport: Angelique Kerber is the #wimbledon champion! 👏

The German beats Serena Williams to lift the trophy for the first time! 🙌
 
L…",4
0.6476,Sat Jul 14 16:03:05 +0000 2018,0.111,0.527,0.362,@BBC,"""We'll definitely keep in touch!""  👋 *Immediately blocks number* #Extras 

https://t.co/9gVnLDsdq0",5
0.0,Sat Jul 14 13:03:04 +0000 2018,0.0,1.0,0.0,@BBC,A wild banana that may hold the key to protecting the world's edible banana crop has been put on the extinction lis… https://t.co/iU8sxtarEw,6
0.0,Sat Jul 14 12:10:55 +0000 2018,0.0,1.0,0.0,@BBC,"There she goes! 🚢 🌊

The RRS Sir David Attenborough - the UK's polar ship known to some as Boaty McBoatface - is la… https://t.co/bYll3hTWpa",7
0.5411,Sat Jul 14 12:08:51 +0000 2018,0.0,0.873,0.127,@BBC,"RT @bbctennis: Meghan Markle has arrived!

The crowd shouted her name as she made her way to Centre Court. She waved 👋

💻📱 https://t.co/Xg5…",8
0.0,Sat Jul 14 12:04:02 +0000 2018,0.0,1.0,0.0,@BBC,"We all know a hipster restaurant that's taken things a bit too far... 🙄😂 

https://t.co/0N3WTRIUVu",9
0.0,Sat Jul 14 11:13:46 +0000 2018,0.0,1.0,0.0,@BBC,"RT @1Xtra: Tonight 9pm @Drake x @CharlieSloth 🔥🦂

#DrakeFITB https://t.co/LpqcF10QvH",10
0.0,Sat Jul 14 11:07:03 +0000 2018,0.0,1.0,0.0,@BBC,Sue Barker presents live coverage of Angelique Kerber vs Serena Williams in the women's singles final from Wimbledo… https://t.co/hFtwDO5Ma3,11
-0.2732,Sat Jul 14 10:03:02 +0000 2018,0.13,0.87,0.0,@BBC,"😲The man with world's longest fingernails has had them cut off after 66 years. 

https://t.co/FmC6KX7ZKP",12
0.1027,Sat Jul 14 09:54:33 +0000 2018,0.0,0.931,0.069,@BBC,"RT @CBeebiesHQ: Look WHO is in for tonight's #BedtimeStory ⏳🌀

@Pearlie_mack reads Ellie's Magic Wellies 📖

@bbcdoctorwho

@AmySparkes

@Ea…",13
0.4019,Sat Jul 14 09:07:03 +0000 2018,0.0,0.838,0.162,@BBC,"This model was bitten by a shark while posing for a photo on holiday. 😮🦈
https://t.co/hQ5q69tVBZ https://t.co/TMYfQlnwto",14
0.7506,Sat Jul 14 08:02:07 +0000 2018,0.0,0.701,0.299,@BBC,"Meet the 8-year-old yoga expert who is winning national and international prizes. 🧘‍♂️

https://t.co/Rn4flrc6vh",15
0.25,Sat Jul 14 07:33:07 +0000 2018,0.204,0.559,0.237,@BBC,"“It’s a love museum – just maybe upside down"". 💔

Welcome to the museum preserving the memories of broken hearts. 👉… https://t.co/KK5pBeeWWE",16
-0.7003,Sat Jul 14 07:04:02 +0000 2018,0.266,0.734,0.0,@BBC,"71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. ☄🔭🌠

https://t.co/fjWUaZC4zQ",17
0.7964,Fri Jul 13 20:32:04 +0000 2018,0.0,0.728,0.272,@BBC,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",18
0.8268,Fri Jul 13 18:31:05 +0000 2018,0.0,0.688,0.312,@BBC,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",19
0.0,Fri Jul 13 18:30:37 +0000 2018,0.0,1.0,0.0,@BBC,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",20
-0.7876,Fri Jul 13 17:32:04 +0000 2018,0.331,0.669,0.0,@BBC,"When someone gets sassy but you've got a killer comeback... 😂👏 @robbrydon #WILTY

https://t.co/cmdBgsfTm1",21
0.9022,Fri Jul 13 17:02:05 +0000 2018,0.0,0.665,0.335,@BBC,"The best time to plant a tree was 20 years ago. The second best time is now. 🌳

Eight Chinese proverbs to help with… https://t.co/zqSO489S8G",22
-0.0516,Fri Jul 13 15:59:00 +0000 2018,0.062,0.938,0.0,@BBC,"When your colleagues ask why you need to leave work at 5pm on the dot... 🍷💃

#FridayFeeling #Versailles https://t.co/Tmba34H72w",23
0.0,Fri Jul 13 15:47:44 +0000 2018,0.0,1.0,0.0,@BBC,RT @BBCNews: Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,24
0.0382,Fri Jul 13 15:04:04 +0000 2018,0.0,0.952,0.048,@BBC,"""I can't pay you, but you can use the photos in your portfolio."" 🙄  

Every photographer can relate to this. 

https://t.co/AIriphAyym",25
-0.7579,Fri Jul 13 12:03:03 +0000 2018,0.427,0.418,0.155,@BBC,"The secret to a long, happy relationship? 

Lying, lying and more lying. ❤️️😂 @rhysnicholson

https://t.co/K0t1XAHovC",26
0.3182,Fri Jul 13 11:03:03 +0000 2018,0.0,0.881,0.119,@BBC,"The original 1926 map of The Hundred Acre Wood from Winnie-the-Pooh has sold for a record £430,000. 📖🍯… https://t.co/YoDZxpIlLe",27
0.0,Fri Jul 13 10:01:02 +0000 2018,0.0,1.0,0.0,@BBC,RT @bbcproms: A Spectacular curtain raiser last night by @AnnaHMeredith &amp; @59productions  commissioned by @bbcproms @edintfest @1418NOW  in…,28
0.0,Fri Jul 13 09:59:32 +0000 2018,0.0,1.0,0.0,@BBC,RT @BBCTheOneShow: It's @ChrisGPackham UK Bioblitz 2018. Over ten days Chris &amp; his team will visit 50 wildlife sites in the UK to highlight…,29
0.0,Fri Jul 13 08:03:04 +0000 2018,0.0,1.0,0.0,@BBC,"Who is the mysterious Hester Appleyard?

Natalie Dormer spills the beans on her enigmatic role in… https://t.co/6oHcD9SONr",30
0.1779,Fri Jul 13 07:27:05 +0000 2018,0.0,0.909,0.091,@BBC,"""I think the NHS is one of the biggest assets we have in this country,"" says @JonniePeacock.… https://t.co/PTiCP0xeHc",31
-0.4003,Fri Jul 13 07:03:02 +0000 2018,0.187,0.813,0.0,@BBC,"⚠️ Watch out! ⚠️ Today is Friday the 13th...

📆😰 But why is this date considered unlucky?

https://t.co/RJelR8Rw6p",32
-0.0772,Thu Jul 12 20:02:02 +0000 2018,0.071,0.929,0.0,@BBC,"😺🎬 Meet Lisio, the ginger cat who jumped onto his owner's shoulders during a serious TV interview.

👉… https://t.co/7DmhNcHnU6",33
0.6249,Thu Jul 12 18:04:07 +0000 2018,0.0,0.806,0.194,@BBC,"Great Britain's John Curry was the world's first out gay Olympian. This is his story. ⛸

https://t.co/8kFobV3AWe",34
-0.7271,Thu Jul 12 17:03:06 +0000 2018,0.313,0.55,0.137,@BBC,Not all heroes wear capes. This Australian diving doctor abandoned his holiday to stay with the boys trapped in a c… https://t.co/BRaTqIJP19,35
0.0,Thu Jul 12 16:03:02 +0000 2018,0.0,1.0,0.0,@BBC,"Orkney’s mysterious stone circles are older than Stonehenge... 

https://t.co/Cbuq22PkVm",36
0.6597,Thu Jul 12 14:47:18 +0000 2018,0.178,0.512,0.31,@BBC,"RT @BBCOne: Love and trust, shattered by secrets and lies. Keeping Faith from @BBCWales starring @TeamEveMyles starts tonight at 9pm on BBC…",37
0.4404,Thu Jul 12 13:04:03 +0000 2018,0.0,0.854,0.146,@BBC,"The university access watchdog says students' backgrounds should be taken into account when awarding places, to imp… https://t.co/q9vW9zt46B",38
0.0,Thu Jul 12 12:04:04 +0000 2018,0.0,1.0,0.0,@BBC,"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",39
-0.3182,Thu Jul 12 11:43:48 +0000 2018,0.087,0.913,0.0,@BBC,"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",40
0.0,Thu Jul 12 11:02:03 +0000 2018,0.0,1.0,0.0,@BBC,Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,41
0.0,Thu Jul 12 10:30:00 +0000 2018,0.0,1.0,0.0,@BBC,"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",42
-0.1788,Thu Jul 12 08:03:03 +0000 2018,0.182,0.733,0.086,@BBC,"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",43
0.0,Thu Jul 12 07:31:08 +0000 2018,0.0,1.0,0.0,@BBC,"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",44
-0.3595,Thu Jul 12 07:03:04 +0000 2018,0.161,0.839,0.0,@BBC,"Walrus siestas can last a week! 💤 These incredible creatures know how to nap... 

https://t.co/qZRpNBkpuc",45
0.1967,Wed Jul 11 20:39:03 +0000 2018,0.0,0.905,0.095,@BBC,"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",46
0.0,Wed Jul 11 20:23:23 +0000 2018,0.0,1.0,0.0,@BBC,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",47
-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.065,0.935,0.0,@BBC,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",48
0.3612,Wed Jul 11 19:52:13 +0000 2018,0.0,0.878,0.122,@BBC,"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",49
-0.296,Wed Jul 11 19:49:56 +0000 2018,0.306,0.694,0.0,@BBC,RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,50
0.0,Wed Jul 11 19:27:11 +0000 2018,0.0,1.0,0.0,@BBC,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",51
